911,"Kristin","Kreuk","1982-12-30"
919,"Kirsten Dunst","Kreuk","1982-04-30"
48002,"Jennifer","Garner","1972-04-15"
48003,"Ben","Stiller","1974-11-11"
48004,"Gerge","Clooney","1961-05-06"
48006,"Nicolas","Cage","1964-01-07"
48007,"Dennis","Quaid","1954-04-09"
48010,"Michael","Keaton","1951-09-09"
48011,"Gerard","Butler","1969-11-13"
48012,"Minnie","Driver","1971-01-31"
48014,"Julia","Roberts","1969-01-23"
48015,"Harvey","Keitel","1939-05-13"
48016,"Barbra","Streisand","1942-04-24"
135003,"Madeleine","Stowe","1958-08-18"
135005,"Rutger","Hauer","1944-01-23"
135006,"Daryl","Hannah","1960-12-03"
135007,"Jason","Statham","1905-05-25"
135008,"Kevin","Spacey","1959-07-26"
135009,"Gabriel","Byrne","1950-05-12"
135012,"Bill","Murray","1950-09-21"
135013,"Cate ","Blanchett","1969-05-14"
135014,"Danny","Glover","1946-07-22"
135015,"Kiefer","Sutherland","1966-12-21"
135017,"Sophie","Marceau","1966-11-17"
135022,"Jeff","Daniels","1955-02-19"
135023,"Will","Farrel","1967-07-16"
135024,"Graham","Chapman","1941-01-08"
140002,"Franka","Potente","1974-07-22"
140003,"Chris","Cooper","1951-07-09"
140004,"Brian","Cox","1946-06-01"
140010,"Greg","Ellis","1968-03-21"
140011,"Nickolas","Cage","1964-01-07"
140012,"Giovanni","Ribsi","1974-12-17"
140013,"William","Scott","1973-07-06"
140014,"Scott","Caan","1976-08-23"
140016,"Nia","Long","1970-10-30"
140017,"Nicky","Katt","1970-05-11"
140020,"Benicio","Del Toro","1967-02-19"
140022,"Aishwarya","Rai","1973-11-01"
140024,"TommyLee","Jones","1946-09-15"
150002,"Ice","Cube","1969-06-09"
150003,"Asanee","Suwan","1978-04-07"
150004,"Christian","Slater","1969-06-18"
150005,"Robert","De Niro","1943-06-17"
150006,"Samuel","Jackson","1948-08-21"
150008,"Emmet","Walsh","1935-03-02"
150010,"Colin","Farrell","1976-05-13"
156005,"Charlotte","Ayanna","1976-09-25"
156009,"Arnold","Schwarzenegger","1947-07-30"
156010,"Linda","Hamilton","1956-09-26"
156011,"Jeff","Goldblum","1952-10-22"
156012,"Linda","Hamilton","1967-02-10"
156016,"Vinnie","Jones","1965-01-05"
156023,"Samuel L.","Jackson","1948-12-21"
156024,"Jason","Liu","1983-01-29"
217022,"Colin","Ferrell","1976-05-31"
217025,"Clint","Eastwood","1930-05-31"
217028,"Kirsten","Dunst","1982-04-27"
217031,"Geoffrey","Rush","1951-07-06"
217032,"Sandra","Bullock","1964-07-26"
217033,"Martin","Henderson","1974-10-08"
217035,"Jamie","Kennedy","1970-05-25"
217037,"Naomi","Watts","1968-09-28"
217040,"Frankie","Muniz","1985-12-05"
217042,"Whoopi","Goldberg","1955-11-13"
326103,"Jennifer","Aniston","1969-02-11"
326105,"Meryl","Streep","1949-06-22"
326111,"Renee","Zellweger","1969-04-25"
326112,"Owen","Wilson","1968-11-18"
412005,"Andy","Garcia","1956-04-12"
412007,"Antonio","Banderas","1960-08-10"
412011,"Sharon","Stone","1958-03-10"
412012,"Gene","Hackman","1930-01-30"
412017,"Hugh","Jackman","1968-10-12"
412018,"Rebecca","Romijn-Stamos","1973-11-06"
412019,"Halle","Berry","1966-08-14"
412020,"Kelly","Hu","1968-02-13"
412022,"Penelope","Cruz","1974-04-28"
412023,"Cameron","Diaz","1972-08-03"
412026,"Goran","Visnjic","1972-09-09"
412027,"Will Yun","Lee","1975-03-22"
412029,"Michael","Caine","1933-03-14"
412030,"Liam","Neeson","1952-06-07"
412031,"Morgan","Freeman","1937-06-01"
412032,"Katie","Holmes","1978-12-18"
422402,"Mark","Ruffalo","1967-11-22"
422404,"Jake","Gyllenhaal","1980-12-19"
422405,"Scarlett","Johansson","1984-11-22"
422406,"Jude","Law","1972-12-29"
422409,"Billy","Crystal","1947-03-14"
422410,"Colin","Firth","1960-09-10"
490002,"Jennifer","Garner","1972-04-17"
490006,"Jennifer","Lopez","1969-07-24"
490009,"Michael","Douglas","1944-09-25"
490012,"Julie","Andrews","1935-10-01"
492107,"Ian","Holm","1931-09-12"
492108,"Don","Cheadle","1964-11-29"
525101,"Sean","Connery","1930-08-25"
525102,"George","Lazenby","1939-09-05"
525103,"Roger","Moore","1927-10-14"
525105,"Pierce","Brosnan","1953-05-16"
525106,"Bernard","Lee","1980-01-10"
525107,"Robert","Brown","1921-07-23"
525108,"Judi","Dench","1934-12-09"
525109,"Lois","Maxwell","1927-02-14"
525110,"Caroline","Bliss","1961-01-01"
525111,"Samantha","Bond","1962-11-27"
525112,"Desmond","Llewelyn","1914-09-12"
525113,"John","Cleese","1939-10-27"
631001,"Gregory","Peck","1916-04-05"
631002,"Audrey","Hepburn","1929-05-04"
631003,"Jodie","Foster","1962-11-19"
631004,"Yun-Fat","Chow","1955-05-18"
631005,"Clark","Gable","1901-02-01"
631006,"Vivien","Leigh","1913-11-05"
631007,"Macaulay","Culkin","1980-08-26"
631008,"Charles","Chaplin","1889-04-16"
631009,"Marlon","Brando","1924-04-03"
631010,"Diane","Keaton","1946-01-05"
631011,"Richard","Chamberlain","1934-03-31"
631012,"Timothy","Dalton","1946-03-21"
631014,"James","Caan","1940-03-26"
631015,"George","Peppard","1928-10-01"
631016,"Patricia","Neal","1926-01-20"
631017,"Buddy","Ebsen","1908-04-02"
631018,"Mickey","Rooney","1920-09-23"
634002,"Laurence ","Fishburne","1961-07-30"
634003,"Orlando","Bloom","1977-01-13"
634004,"Liv","Tyler","1977-07-01"
634005,"Hugo","Weaving","1960-04-04"
634006,"Viggo","Mortensen","1958-10-20"
634007,"Ian","McKellen","1939-05-25"
634008,"Elijah","Wood","1981-01-28"
634011,"Zhang","Ziyi","1979-02-09"
658001,"none","Eminem","1972-11-10"
658003,"Ewan","McGregor","1971-03-31"
658007,"Thora","Birch","1982-03-11"
658008,"Kate","Winslet","1975-11-05"
658010,"Sean","Penn","1960-08-17"
658011,"Hugh","Grant","1960-09-09"
658012,"Joesph","Fiennes","1970-05-27"
658013,"Mena","Suvari","1979-02-09"
658014,"Sally","Field","1946-11-06"
658015,"Martine","McCutcheor","1976-05-14"
658016,"Jennifer","Connelly","1970-12-12"
658017,"Ed","Harris","1950-11-28"
658018,"Emmy","Rossum","1986-09-12"
658019,"Tim","Robbins","1958-10-16"
671103,"Mel","Gibson","1956-01-03"
671105,"Jim","Carrey","1962-01-17"
671107,"Casper","Van Dien","1968-12-18"
671109,"Brendan","Fraser","1968-12-03"
683001,"Al","Pacino","1940-04-25"
683002,"Marlon","Brando","1924-03-04"
683003,"Giovanni","Ribisi","1974-03-31"
683004,"Sylvester","Stallone","1946-07-06"
683007,"Paul","Walker","1973-09-12"
683008,"Vin","Diesel","1967-07-18"
683010,"Josh","Hartnett","1978-07-21"
683013,"Michelle","Pfeiffer","1958-04-29"
683014,"Steven","Bauer","1956-12-02"
683016,"Eva","Mendes","1978-03-05"
683018,"Gina","Gershon","1962-06-10"
683019,"Estella","Warren","1978-12-23"
683020,"Jordana","Brewster","1980-04-26"
683021,"Jamie","Foxx","1967-12-13"
693100,"Leonardo","DiCaprio","1974-11-11"
693101,"Jennifer","Garner","1972-05-17"
693103,"Brad","Pitt","1973-12-18"
693104,"Sean","Astin","1971-02-25"
693105,"Cate","Blanchett","1969-05-14"
693106,"Kate","Beckinsale","1973-07-26"
693108,"Dustin","Hoffman","1937-08-08"
693109,"Catherine","Zeta-Jones","1969-09-25"
693111,"Ashanti","Douglas","1980-10-13"
693112,"Laurence","Fishburne","1961-07-30"
693113,"Ethan","Hawke","1970-11-06"
693115,"Gary","Sinise","1955-03-17"
693116,"Will","Smith","1968-09-25"
693117,"Bruce","Willis","1995-03-19"
693118,"Robert","DeNiro","1943-08-17"
693119,"Alec","Baldwin","1958-04-03"
755001,"Zach","Braff","1975-04-06"
755003,"Harrison","Ford","1942-07-13"
755005,"Jet","Li","1963-04-26"
755006,"Michael","Moore","1954-04-23"
755007,"Mike","Myers","1963-05-25"
755008,"Craig","Nelson","1944-04-04"
755010,"Keanu","Reeves","1964-09-02"
755011,"Arnold","Schwarzeneggar","1947-07-30"
755012,"Audrey","Tautou","1978-08-09"
755013,"Marlon","Wayans","1972-07-23"
755014,"Ewan","MacGregor","1971-03-31"
755015,"Natalie","Portman","1981-06-09"
755016,"Cameron","Diaz","1972-08-30"
755017,"Eddie","Murphy","1961-04-03"
764001,"Joaquin","Phoenix","1974-10-28"
764002,"Diane","Kruger","1976-07-15"
764003,"Nicholas","Cage","1964-01-07"
764005,"Holly","Hunter","1958-03-20"
764006,"Robert","De Niro","1943-08-17"
764007,"Nona","Gaye","1974-09-04"
764008,"Ron","Perlman","1950-04-13"
764009,"Adam","Sandler","1966-09-09"
764011,"Bryce","Howard","1981-03-02"
764012,"Adrien","Brody","1973-04-14"
764013,"William","Hurt","1950-03-20"
764014,"Sigourney","Weaver","1949-10-08"
764015,"Brendan","Gleeson","1955-11-09"
764016,"Micheal","Pitt","1981-04-10"
764017,"John","Hurt","1940-01-22"
764018,"Selma","Blair","1972-06-23"
764019,"Jeffery","Tambor","1944-07-08"
764020,"David","Pierce","1959-04-03"
788001,"Meg","Ryan","1961-11-19"
788002,"Robin","Williams","1952-07-21"
788003,"Russell","Crowe","1964-04-07"
788006,"Matt","Damon","1970-10-08"
788007,"Angelina","Jolie","1975-06-04"
788008,"Ashley","Judd","1968-04-19"
788009,"Tobey","Maguire","1975-06-27"
788010,"Tom","Hanks","1956-07-09"
788011,"Kate","Hudson","1979-04-19"
855100,"Jackie","Chan","1954-04-07"
855101,"Chris","Tucker","1872-08-13"
855102,"Bruce","Willis","1955-03-19"
855103,"Jennifer","Lopez","1970-07-24"
855104,"Richard","Gere","1949-08-31"
855105,"Julia","Roberts","1967-10-28"
855106,"Brad","Pitt","1963-12-18"
855107,"Catherine","Zeta-Jones","1969-09-21"
855108,"George","Clooney","1961-05-06"
855109,"Johnny","Depp","1963-06-09"
855110,"Kate","Winslet","1975-10-05"
855111,"Christina","Ricci","1980-02-12"
855112,"Jim","Carrery","1962-01-17"
872001,"Halle","Barry","1966-08-14"
872002,"Ice","Cube","1969-06-15"
872003,"Ben","Stiller","1965-11-30"
872004,"Vince","Vaughn","1970-03-28"
872005,"Snoop","Dogg","1971-10-20"
872006,"Denzel","Washington","1954-12-28"
872007,"Christopher","Walken","1943-03-31"
872008,"Nicole","Kidman","1967-06-20"
872009,"Tom","Cruise","1962-07-03"
872010,"Jamie","Fox","1967-12-13"
872011,"Kerry","Washington","1977-01-05"
907000,"Samuel","Jackson","1948-12-21"
907001,"Tony","Shalhoub","1953-10-09"
907002,"Steve","Coogan","1965-10-14"
907003,"Keir","Dullea","1936-05-30"
907004,"Malcolm","McDowell","1943-06-13"
907005,"Kurt","Russell","1951-03-17"
907006,"Hilary","Swank","1974-07-30"
907007,"Christian","Bale","1974-01-30"
907008,"Timothy","Spall","1957-02-27"
907009,"Tara","Subkoff","1973-01-01"
